ORE,Orocobre Limited,Materials,"1,397,410,000",0.08,,,
ORG,Origin Energy,Energy,"15,299,000,000",0.91,,,
ORI,Orica Limited,Materials,"6,716,060,000",0.4,,,
OSH,Oil Search Limited 10 Toea,Energy,"10,894,000,000",0.65,,,
OZL,OZ Minerals,Materials,"2,685,000,000",0.16,,,
PGH,Pact Group Holdings Limited,Materials,"1,822,010,000",0.11,,,
PLS,Pilbara Min Limited,Materials,"1,357,670,000",0.08,,,
PMV,Premier Investments,Consumer Discretionary,"2,492,450,000",0.15,,,
PPT,Perpetual Limited,Financials,"2,168,040,000",0.13,,,
PRY,Primary Health Care,Health Care,"2,035,230,000",0.12,,,
PTM,Platinum Asset,Financials,"3,437,940,000",0.21,,,
QAN,Qantas Airways,Industrials,"10,174,000,000",0.61,,,
QBE,QBE Insurance Group,Financials,"13,092,900,000",0.78,,,
QUB,QUBE Holdings Limited,Industrials,"3,497,220,000",0.21,,,
REA,REA Group,Information Technology,"10,433,100,000",0.62,,,
RFG,Retail Food Group,Consumer Discretionary,"169,953,000",0.01,,,
RHC,Ramsay Health Care,Health Care,"12,593,700,000",0.75,,,
RIO,RIO Tinto Limited,Materials,"29,982,500,000",1.79,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"17,661,400,000",1.06,,,
RRL,Regis Resources,Materials,"2,284,620,000",0.14,,,
RSG,Resolute Mining,Materials,"923,140,000",0.06,,,
RWC,Reliance Worldwide,Industrials,"2,320,500,000",0.14,,,
S32,SOUTH32 Limited,Materials,"16,628,900,000",0.99,,,
SAR,Saracen Mineral,Materials,"1,442,810,000",0.09,,,
SBM,ST Barbara Limited,Materials,"2,056,550,000",0.12,,,
SCG,Scentre Group Stapled Securities,Real Estate,"20,392,100,000",1.22,,,
SCP,Sca Property Group Units FP Stapled Securities,Real Estate,"1,745,530,000",0.1,,,
SDA,Speedcast Int Limited,Telecommunication Services,"1,227,970,000",0.07,,,
SDF,Steadfast Group Limited,Financials,"1,990,520,000",0.12,,,
SEK,Seek Limited,Industrials,"6,522,200,000",0.39,,,
SFR,Sandfire Resources,Materials,"1,157,930,000",0.07,,,
SGM,Sims Metal MGMT Limited,Materials,"2,922,960,000",0.17,,,
SGP,Stockland Units/ Stapled Securities,Real Estate,"9,810,910,000",0.59,,,
SGR,The Star Ent Group,Consumer Discretionary,"4,367,810,000",0.26,,,
SHL,Sonic Healthcare,Health Care,"9,673,920,000",0.58,,,
SIG,Sigma Health Limited,Health Care,"827,310,000",0.05,,,
SIQ,Smartgrp Corporation,Industrials,"1,421,990,000",0.09,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,389,070,000",0.14,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"4,020,010,000",0.24,,,
SOL,Soul Pattinson (W.H),Energy,"4,455,150,000",0.27,,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"5,780,090,000",0.35,,,
SRX,Sirtex Medical,Health Care,"1,547,140,000",0.09,,,
STO,Santos Limited,Energy,"10,560,400,000",0.63,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,341,230,000",0.08,,,
SUN,Suncorp Group Limited,Financials,"17,288,900,000",1.03,,,
SVW,Seven Group Holdings,Industrials,"5,538,490,000",0.33,,,
SWM,Seven West Media Limited,Consumer Discretionary,"814,339,000",0.05,,,
SXL,STHN Cross Media,Consumer Discretionary,"795,929,000",0.05,,,
SYD,SYD Airport FP Stapled Securities US Prohibited,Industrials,"15,119,100,000",0.9,,,
SYR,Syrah Resources,Materials,"942,733,000",0.06,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"8,836,950,000",0.53,,,
TCL,Transurban Group Ordinary Shares/Units FP Triple Stapled,Industrials,"25,406,400,000",1.52,,,
TGR,Tassal Group Limited,Consumer Staples,"656,713,000",0.04,,,
TLS,Telstra Corporation,Telecommunication Services,"37,345,000,000",2.23,,,
TME,Trade Me Group Foreign Exempt NZX,Consumer Discretionary,"1,648,730,000",0.1,,,
TNE,Technology One,Information Technology,"1,637,650,000",0.1,,,
TPM,TPG Telecom Limited,Telecommunication Services,"5,086,490,000",0.3,,,
TWE,Treasury Wine Estate,Consumer Staples,"12,116,700,000",0.72,,,
VCX,Vicinity Centres Ordinary/Units FP Stapled Securities,Real Estate,"9,330,580,000",0.56,,,
VOC,Vocus Group Limited,Telecommunication Services,"1,381,250,000",0.08,,,
